mapped_rxn,template
O[C:22]([c:17]1[c:15]([OH:16])[c:14]2[cH:13][cH:12][c:11]([CH3:10])[n:21][c:20]2[n:19][cH:18]1)=[O:24].[NH2:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][cH:9]1>>[CH3:10][c:11]1[cH:12][cH:13][c:14]2[c:15]([OH:16])[c:17]([cH:18][n:19][c:20]2[n:21]1)[C:22](=[O:24])[NH:1][CH2:2][c:3]1[cH:9][cH:8][c:6]([Cl:7])[cH:5][cH:4]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
CO[C:25]([c:19]1[cH:18][c:17]([O:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2])[c:22]([O:23][CH3:24])[cH:21][cH:20]1)=[O:26].[OH2:1]>>[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][O:16][c:17]1[cH:18][c:19]([cH:20][cH:21][c:22]1[O:23][CH3:24])[C:25]([OH:1])=[O:26],[O:1].C-O-[C:2]=O>>[C:2]-[O:1]
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:7][cH:8]1.[O-:9][N+:10](=[O:11])[c:12]1[cH:13][c:14]2[c:20]([c:21]([N+:23]([O-:24])=[O:25])[cH:22]1)[C:18](=[O:19])[O:17][C:15]2=[O:16]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([cH:7][cH:8]1)[N:6]=[C:15]([OH:16])[c:14]1[cH:13][c:12]([cH:22][c:21]([c:20]1[C:18]([OH:17])=[O:19])[N+:23]([O-:24])=[O:25])[N+:10]([O-:9])=[O:11],[N:1].O=C-[O:2]-[C:3]=[O:4]>>[O:2].[O:4]-[C:3]=[N:1]
O[C:32]([CH:29]1[CH2:28][CH2:27][N:26]([C:24]([O:23][C:20]([CH3:19])([CH3:21])[CH3:22])=[O:25])[CH2:31][CH2:30]1)=[O:34].[NH2:1][c:2]1[cH:3][cH:4][c:5]([I:6])[cH:7][c:8]1[C:9](=[O:10])[NH:11][c:12]1[cH:13][cH:14][c:15]([Cl:16])[cH:17][n:18]1>>[CH3:22][C:20]([CH3:21])([CH3:19])[O:23][C:24](=[O:25])[N:26]1[CH2:31][CH2:30][CH:29]([CH2:28][CH2:27]1)[C:32](=[O:34])[NH:1][c:2]1[cH:3][cH:4][c:5]([I:6])[cH:7][c:8]1[C:9](=[O:10])[NH:11][c:12]1[cH:13][cH:14][c:15]([Cl:16])[cH:17][n:18]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
O[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]2[n:17]([CH2:18][CH2:19][N:20]=[N+:21]=[N-:22])[cH:23][n:24][c:25]2[cH:26]1.[OH:1][CH:2]1[CH2:3][CH:4]2[CH2:5][CH2:6][CH:7]([CH2:8]1)[NH:9]2>>[OH:1][CH:2]1[CH2:8][CH:7]2[CH2:6][CH2:5][CH:4]([CH2:3]1)[N:9]2[C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]2[n:17]([CH2:18][CH2:19][N:20]=[N+:21]=[N-:22])[cH:23][n:24][c:25]2[cH:26]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
CCO[C:5](=[O:6])[C:7](=[O:8])[c:9]1[cH:10][cH:11][c:12]([Br:13])[s:14]1.[OH2:1]>>[OH:1][C:5](=[O:6])[C:7](=[O:8])[c:9]1[cH:10][cH:11][c:12]([Br:13])[s:14]1,[O:1].C-C-O-[C:2]=O>>[C:2]-[O:1]
O[C:20](=[O:21])[CH:22]=[CH:23][c:24]1[cH:25][cH:26][cH:27][n:28][cH:29]1.[NH2:1][CH2:2][CH2:3][CH2:4][O:5][CH:6]1[CH2:7][CH2:8][N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH2:18]1>>[O:21]=[C:20]([NH:1][CH2:2][CH2:3][CH2:4][O:5][CH:6]1[CH2:7][CH2:8][N:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH2:18]1)[CH:22]=[CH:23][c:24]1[cH:25][cH:26][cH:27][n:28][cH:29]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
O=S(Cl)[Cl:3].O[C:6](=[O:7])[c:8]1[cH:9][c:10]2[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]2[o:17]1>>[Cl:3][C:6](=[O:7])[c:8]1[cH:9][c:10]2[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]2[o:17]1,O-[C:1]=O.Cl-S(=O)-[Cl:2]>>[C:1]-[Cl:2]
O[C:43]([c:42]1[c:37]([O:36][CH3:35])[cH:38][cH:39][c:40]([S:46]([CH3:47])(=[O:48])=[O:49])[cH:41]1)=[O:45].[CH3:1][CH2:2][O:3][CH2:4][CH2:5][n:6]1[c:7]([N:15]2[CH2:16][CH2:17][CH2:18][N:19]([CH2:20][CH2:21][C:22]3([c:27]4[cH:28][cH:29][cH:30][cH:31][cH:32]4)[CH2:23][CH2:24][NH:25][CH2:26]3)[CH2:33][CH2:34]2)[n:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]12>>[CH3:1][CH2:2][O:3][CH2:4][CH2:5][n:6]1[c:7]([n:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]12)[N:15]1[CH2:16][CH2:17][CH2:18][N:19]([CH2:20][CH2:21][C:22]2([CH2:23][CH2:24][N:25]([CH2:26]2)[C:43](=[O:45])[c:42]2[cH:41][c:40]([cH:39][cH:38][c:37]2[O:36][CH3:35])[S:46]([CH3:47])(=[O:48])=[O:49])[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[CH2:33][CH2:34]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
CO[C:4](=[O:5])[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][n:13]1[c:14]2[cH:15][c:16]([N+:23]([O-:24])=[O:25])[cH:17][cH:18][c:19]2[o:20][c:21]1=[O:22].[OH2:1]>>[OH:1][C:4](=[O:5])[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][n:13]1[c:14]2[cH:15][c:16]([cH:17][cH:18][c:19]2[o:20][c:21]1=[O:22])[N+:23]([O-:24])=[O:25],[O:1].C-O-[C:2]=O>>[C:2]-[O:1]
Br[c:21]1[c:15]([N:14]([CH2:13][O:12][CH3:11])[S:23](=[O:24])(=[O:25])[c:26]2[cH:27][cH:28][c:29]([Cl:30])[c:31]([C:33]([F:34])([F:35])[F:36])[cH:32]2)[cH:16][c:17]([CH3:18])[cH:19][n:20]1.CC(C)[Mg+].CN(C)[CH:9]=[O:10].[Cl-]>>[CH3:11][O:12][CH2:13][N:14]([c:15]1[cH:16][c:17]([CH3:18])[cH:19][n:20][c:21]1[CH:9]=[O:10])[S:23](=[O:24])(=[O:25])[c:26]1[cH:27][cH:28][c:29]([Cl:30])[c:31]([cH:32]1)[C:33]([F:34])([F:35])[F:36],Br-[c:1].C-N(-C)-[C:2]>>[C:2]-[c:1]
O[C:10](=[O:11])[c:12]1[cH:13][cH:14][c:15]([Br:16])[cH:17][n:18]1.[NH2:1][CH2:2][CH2:3][N:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1>>[Br:16][c:15]1[cH:14][cH:13][c:12]([n:18][cH:17]1)[C:10](=[O:11])[NH:1][CH2:2][CH2:3][N:4]1[CH2:8][CH2:7][CH2:6][CH2:5]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
Br[c:24]1[cH:23][cH:22][c:21]([S:18]([NH:17][CH3:16])(=[O:19])=[O:20])[cH:27][cH:26]1.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([CH:14]=[O:15])[CH2:12][CH2:13]1>>[CH3:16][NH:17][S:18](=[O:20])(=[O:19])[c:21]1[cH:22][cH:23][c:24]([cH:26][cH:27]1)[CH:14]([OH:15])[CH:11]1[CH2:12][CH2:13][N:8]([CH2:9][CH2:10]1)[C:6](=[O:7])[O:5][C:2]([CH3:4])([CH3:3])[CH3:1],Br-[c:1].[C:2]=[O:3]>>[O:3]-[C:2]-[c:1]
CC1(C)OB([c:34]2[cH:33][cH:32][c:31](-[c:16]3[n:15](-[c:12]4[cH:11][cH:10][c:9]([Cl:8])[cH:14][cH:13]4)[c:20](=[O:21])[c:19]4[c:18]([n:17]3)[n:24](-[c:25]3[cH:26][cH:27][cH:28][cH:29][cH:30]3)[n:23][cH:22]4)[cH:36][cH:35]2)OC1(C)C.Cl[c:2]1[n:3][n:4][cH:5][cH:6][cH:7]1>>[Cl:8][c:9]1[cH:10][cH:11][c:12]([cH:13][cH:14]1)-[n:15]1[c:16]([n:17][c:18]2[n:24]([n:23][cH:22][c:19]2[c:20]1=[O:21])-[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)-[c:31]1[cH:32][cH:33][c:34]([cH:35][cH:36]1)-[c:2]1[cH:7][cH:6][cH:5][n:4][n:3]1,Cl-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C>>[c:1]-[c:2]
O[C:30]([CH:18]([N:17]([CH3:16])[C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39])[CH2:19][c:20]1[cH:21][cH:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[cH:29]1)=[O:32].[CH3:1][NH:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[O:11][CH2:12][CH2:13][CH2:14][OH:15]>>[CH3:1][N:2]([CH2:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[O:11][CH2:12][CH2:13][CH2:14][OH:15])[C:30](=[O:32])[CH:18]([CH2:19][c:20]1[cH:21][cH:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[cH:29]1)[N:17]([CH3:16])[C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:39])[CH3:38],[N:1].O-[C:2]=O>>[C:2]-[N:1]
O[C:2](=[O:3])[CH2:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][s:11]1>>[O:3]=[C:2]1[CH2:4][CH2:5][CH2:6][c:7]2[s:11][cH:10][cH:9][c:8]12,[c:1].O-[C:2]=O>>[C:2]-[c:1]
O=[CH:17][c:16]1[c:11]([OH:10])[cH:12][cH:13][cH:14][cH:15]1.[CH3:1][C:2]([CH3:3])([SH:4])[CH:5]([NH2:6])[C:7]([OH:8])=[O:9]>>[CH3:3][C:2]1([CH3:1])[S:4][CH:17]([NH:6][CH:5]1[C:7]([OH:8])=[O:9])[c:16]1[cH:15][cH:14][cH:13][cH:12][c:11]1[OH:10],[S:1].[N:2].O=[C:3]>>[N:2]-[C:3]-[S:1]
CO[C:4](=[O:5])[c:6]1[s:7][cH:8][c:9]([Br:10])[c:11]1[O:12][CH3:13].[OH2:1]>>[CH3:13][O:12][c:11]1[c:9]([Br:10])[cH:8][s:7][c:6]1[C:4]([OH:1])=[O:5],[O:1].C-O-[C:2]=O>>[C:2]-[O:1]
O=C1CCC(=O)N1[Br:51].O[CH2:18][CH2:17][c:7]1[cH:6][c:5]([C:1]([CH3:2])([CH3:3])[CH3:4])[cH:13][c:12]2[c:8]1[CH2:9][CH:10]([CH3:16])[CH:11]2[O:14][CH3:15]>>[CH3:15][O:14][CH:11]1[CH:10]([CH3:16])[CH2:9][c:8]2[c:12]1[cH:13][c:5]([cH:6][c:7]2[CH2:17][CH2:18][Br:51])[C:1]([CH3:2])([CH3:3])[CH3:4],O-[C:1].O=C1-C-C-C(=O)-N-1-[Br:2]>>[Br:2]-[C:1]
CO[C:4](=[O:5])[c:6]1[s:7][c:8](-[n:29]2[cH:30][n:31][c:32]3[cH:33][n:34][c:35]([CH2:36][O:37][Si:38]([CH3:39])([CH3:40])[C:41]([CH3:42])([CH3:43])[CH3:44])[cH:45][c:46]23)[cH:9][c:10]1[O:11][CH:12]([CH2:13][O:14][Si:15]([CH3:16])([CH3:17])[C:18]([CH3:19])([CH3:20])[CH3:21])[c:22]1[cH:23][cH:24][cH:25][cH:26][c:27]1[Cl:28].[NH3:1]>>[CH3:19][C:18]([CH3:21])([CH3:20])[Si:15]([CH3:17])([CH3:16])[O:14][CH2:13][CH:12]([O:11][c:10]1[cH:9][c:8]([s:7][c:6]1[C:4]([NH2:1])=[O:5])-[n:29]1[cH:30][n:31][c:32]2[cH:33][n:34][c:35]([CH2:36][O:37][Si:38]([CH3:40])([CH3:39])[C:41]([CH3:42])([CH3:44])[CH3:43])[cH:45][c:46]12)[c:22]1[cH:23][cH:24][cH:25][cH:26][c:27]1[Cl:28],[N:1].C-O-[C:2]=O>>[C:2]-[N:1]
N#[C:12][CH2:11][c:10]1[c:5]([O:4][CH3:3])[n:6][cH:7][cH:8][cH:9]1.[OH2:1].[OH2:2]>>[CH3:3][O:4][c:5]1[n:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][C:12]([OH:2])=[O:1],[O:1].[O:2].N#[C:3]>>[O:2]-[C:3]=[O:1]
Cl[CH2:29][CH2:28][N:27]([CH3:26])[CH2:31][CH2:32]Cl.[CH3:1][c:2]1[cH:3][c:4]([CH2:5][NH2:6])[cH:7][c:8]2[c:25]1[C:23](=[O:24])[N:10]([CH2:11][c:12]1[cH:13][cH:14][c:15]([O:16][C:17]([F:18])([F:19])[F:20])[cH:21][cH:22]1)[CH2:9]2>>[CH3:26][N:27]1[CH2:28][CH2:29][N:6]([CH2:5][c:4]2[cH:7][c:8]3[CH2:9][N:10]([CH2:11][c:12]4[cH:22][cH:21][c:15]([O:16][C:17]([F:18])([F:19])[F:20])[cH:14][cH:13]4)[C:23](=[O:24])[c:25]3[c:2]([CH3:1])[cH:3]2)[CH2:32][CH2:31]1,[N:1].Cl-[C:2].Cl-[C:3]>>[C:2]-[N:1]-[C:3]
C=[CH:13][CH2:12][C:11]1([C:9]([O:8][CH3:7])=[O:10])[CH2:15][CH2:16][O:17][CH2:18][CH2:19]1.O.O=[Os](=O)(=O)=[O:6]>>[CH3:7][O:8][C:9](=[O:10])[C:11]1([CH2:12][CH:13]=[O:6])[CH2:15][CH2:16][O:17][CH2:18][CH2:19]1,C=[C:1].O=[Os](=O)(=O)=[O:2]>>[C:1]=[O:2]
Cl[CH2:2][CH2:3][CH2:4][S:5](Cl)(=[O:7])=[O:8].[CH3:9][C:10]1([CH3:11])[O:12][B:13]([c:18]2[cH:19][cH:20][c:21]([NH2:22])[cH:23][cH:24]2)[O:14][C:15]1([CH3:16])[CH3:17]>>[CH3:9][C:10]1([CH3:11])[O:12][B:13]([O:14][C:15]1([CH3:17])[CH3:16])[c:18]1[cH:24][cH:23][c:21]([cH:20][cH:19]1)[N:22]1[CH2:2][CH2:3][CH2:4][S:5]1(=[O:7])=[O:8],[N:1].Cl-[S:2].Cl-[C:3]>>[C:3]-[N:1]-[S:2]
I[CH3:1].[CH3:3][N:4]([CH3:5])[C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([NH:12][C:13](=[O:14])[c:15]2[cH:16][c:17]3[c:28]([s:29]2)-[c:27]2[c:21]([cH:22][c:23]([Br:24])[cH:25][cH:26]2)[O:20][CH2:19][CH2:18]3)[c:30]([Cl:31])[cH:32]1>>[CH3:5][N:4]([CH3:3])[C:6](=[O:7])[c:8]1[cH:9][cH:10][c:11]([N:12]([CH3:1])[C:13](=[O:14])[c:15]2[cH:16][c:17]3[CH2:18][CH2:19][O:20][c:21]4[cH:22][c:23]([Br:24])[cH:25][cH:26][c:27]4-[c:28]3[s:29]2)[c:30]([Cl:31])[cH:32]1,[N:1].I-[C:2]>>[C:2]-[N:1]
CO[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]([O:11][CH2:12][CH2:13][NH:14][C:15](=[O:16])[c:17]2[o:18][c:19]3[cH:20][cH:21][cH:22][cH:23][c:24]3[c:25]2[N:26]([CH3:27])[CH3:28])[cH:29][cH:30]1.[NH2:1][OH:2]>>[CH3:27][N:26]([CH3:28])[c:25]1[c:17]([o:18][c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]12)[C:15](=[O:16])[NH:14][CH2:13][CH2:12][O:11][c:10]1[cH:9][cH:8][c:7]([cH:30][cH:29]1)[C:5](=[O:6])[NH:1][OH:2],[N:1].C-O-[C:2]=O>>[C:2]-[N:1]
CO[C:15](=[O:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[NH:23][CH2:24][c:25]1[cH:26][cH:27][n:28][c:29]([NH:30][C:31](=[O:32])[N:33]([CH3:34])[CH3:35])[cH:36]1.[CH3:1][c:2]1[n:3]([CH3:4])[n:5][c:6]2[cH:7][c:8]([NH2:9])[cH:10][cH:11][c:12]12>>[CH3:34][N:33]([CH3:35])[C:31](=[O:32])[NH:30][c:29]1[cH:36][c:25]([CH2:24][NH:23][c:22]2[cH:21][cH:20][cH:19][cH:18][c:17]2[C:15](=[O:16])[NH:9][c:8]2[cH:10][cH:11][c:12]3[c:2]([CH3:1])[n:3]([CH3:4])[n:5][c:6]3[cH:7]2)[cH:26][cH:27][n:28]1,[N:1].C-O-[C:2]=O>>[C:2]-[N:1]
O[C:12]([c:9]1[cH:8][cH:7][c:6]([CH:4]([CH3:3])[CH3:5])[cH:11][cH:10]1)=[O:14].[CH3:1][OH:2]>>[CH3:1][O:2][C:12](=[O:14])[c:9]1[cH:8][cH:7][c:6]([cH:11][cH:10]1)[CH:4]([CH3:3])[CH3:5],[O:1].O-[C:2]=O>>[C:2]-[O:1]
Br[CH2:5][CH:6]=[CH2:7].[CH3:8][C:9]([CH3:10])([CH3:11])[c:12]1[cH:13][cH:14][cH:15][c:16]([C:19]([CH3:20])([CH3:21])[CH3:22])[c:17]1[OH:18].[S:1]=[C:2]=[S:3]>>[CH3:11][C:9]([CH3:10])([CH3:8])[c:12]1[cH:13][c:14]([cH:15][c:16]([c:17]1[OH:18])[C:19]([CH3:22])([CH3:21])[CH3:20])[C:2](=[S:1])[S:3][CH2:5][CH:6]=[CH2:7],[c:1].Br-[C:2].[C:3]=[S:4]>>[C:2]-[S:4]-[C:3]-[c:1]
CO[C:7]([CH2:6][CH:5]([CH2:4][N+:1](=O)[O-])[CH2:11][CH2:12][CH3:13])=[O:8]>>[CH3:13][CH2:12][CH2:11][CH:5]1[CH2:4][NH:1][C:7](=[O:8])[CH2:6]1,C-O-[C:1]=O.O=[N:2]-[O-]>>[C:1]-[N:2]
Cl[S:2](Cl)=[O:4].[CH3:5][c:6]1[cH:7][cH:8][c:9]([S:12](=[O:13])(=[O:14])[NH:15][CH:16]([c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[C:23]([CH3:24])([CH3:25])[OH:26])[cH:10][cH:11]1>>[CH3:5][c:6]1[cH:11][cH:10][c:9]([cH:8][cH:7]1)[S:12](=[O:13])(=[O:14])[N:15]1[CH:16]([c:17]2[cH:22][cH:21][cH:20][cH:19][cH:18]2)[C:23]([CH3:25])([CH3:24])[O:26][S:2]1=[O:4],[N:1].[O:2].Cl-[S:3]-Cl>>[N:1]-[S:3]-[O:2]
O=[N+]([O-])c1ccc(O[C:16]([c:15]2[cH:14][n:13][c:12]([O:11][CH3:10])[c:32]3[c:28]2[cH:29][c:30]([C:33]([CH3:34])=[O:35])[o:31]3)=[O:17])cc1.[NH2:1][c:2]1[c:3]([Cl:4])[cH:5][n:6][cH:7][c:8]1[Cl:9]>>[CH3:10][O:11][c:12]1[n:13][cH:14][c:15]([C:16](=[O:17])[NH:1][c:2]2[c:3]([Cl:4])[cH:5][n:6][cH:7][c:8]2[Cl:9])[c:28]2[cH:29][c:30]([o:31][c:32]12)[C:33]([CH3:34])=[O:35],[N:1].O=[C:2]-O-c1:c:c:c(-[N+](=O)-[O-]):c:c:1>>[C:2]-[N:1]
FC(F)(F)CO[CH:16]=[O:17].[OH:1][NH:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1>>[OH:1][N:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[CH:16]=[O:17],[N:1].F-C(-F)(-F)-C-O-[C:2]=O>>[C:2]-[N:1]
O=[CH2:33].[Cl:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:32]1)[CH2:7][N:8]([CH:27]1[CH2:28][CH2:29][NH:30][CH2:31]1)[CH2:9][c:10]1[n:11][n:12][c:13]([CH:14]3[CH2:15][CH2:16][N:17]([c:20]4[cH:21][cH:22][cH:23][cH:24][n:25]4)[CH2:18][CH2:19]3)[n:26]1-2>>[CH3:33][N:30]1[CH2:29][CH2:28][CH:27]([CH2:31]1)[N:8]1[CH2:9][c:10]2[n:11][n:12][c:13]([CH:14]3[CH2:19][CH2:18][N:17]([CH2:16][CH2:15]3)[c:20]3[cH:21][cH:22][cH:23][cH:24][n:25]3)[n:26]2-[c:5]2[cH:4][cH:3][c:2]([Cl:1])[cH:32][c:6]2[CH2:7]1,[N:1].O=[C:2]>>[C:2]-[N:1]
O=C(O[OH:21])c1cccc(Cl)c1.[CH3:1][CH2:2][NH:3][C:4](=[O:5])[n:6]1[n:7][cH:8][c:9]2[cH:10][cH:11][c:12]([O:13][C:14]([CH3:15])=[O:16])[c:17]([CH2:18][CH:19]=[CH2:20])[c:22]12>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[n:6]1[n:7][cH:8][c:9]2[cH:10][cH:11][c:12]([O:13][C:14]([CH3:15])=[O:16])[c:17]([CH2:18][CH:19]3[CH2:20][O:21]3)[c:22]12,[C:1]=[C:2].Cl-c1:c:c:c:c(-C(=O)-O-[O:3]):c:1>>[C:1]1-[C:2]-[O:3]-1
O=C(Cl)C(=O)[Cl:34].O[C:33]([c:31]1[cH:30][cH:29][cH:28][c:27]([CH2:26][n:25]2[cH:24][cH:23][c:22]([NH:21][C:19]([CH:12]([c:8]3[cH:7][cH:6][c:5]([S:2]([CH3:1])(=[O:3])=[O:4])[c:10]([Cl:11])[cH:9]3)[CH2:13][CH:14]3[CH2:15][CH2:16][CH2:17][CH2:18]3)=[O:20])[n:36]2)[cH:32]1)=[O:35]>>[CH3:1][S:2](=[O:3])(=[O:4])[c:5]1[cH:6][cH:7][c:8]([CH:12]([CH2:13][CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18]2)[C:19](=[O:20])[NH:21][c:22]2[cH:23][cH:24][n:25]([CH2:26][c:27]3[cH:28][cH:29][cH:30][c:31]([C:33]([Cl:34])=[O:35])[cH:32]3)[n:36]2)[cH:9][c:10]1[Cl:11],O-[C:1]=O.Cl-C(=O)-C(=O)-[Cl:2]>>[C:1]-[Cl:2]
CCO[C:2](=[O:1])[c:6]1[cH:7][cH:8][cH:9][n:10][cH:11]1.[CH3:3][C:4]#[N:5]>>[O:1]=[C:2]([CH2:3][C:4]#[N:5])[c:6]1[cH:7][cH:8][cH:9][n:10][cH:11]1,N#C-[C:1].C-C-O-[C:2]=O>>[C:1]-[C:2]
O=C1CCC(=O)N1O[C:30]([c:26]1[c:23]([O:24][CH3:25])[cH:22][c:21]([CH2:20][C:18]([NH:17][N:16]([c:13]2[cH:12][cH:11][c:10]([O:9][CH3:8])[cH:15][cH:14]2)[c:40]2[c:41]([CH3:42])[cH:43][cH:44][cH:45][c:46]2[N:47]2[CH2:48][CH2:49][CH2:50][CH2:51][CH2:52]2)=[O:19])[c:28]([Br:29])[cH:27]1)=[O:31].[CH3:1][N:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1>>[CH3:8][O:9][c:10]1[cH:11][cH:12][c:13]([cH:14][cH:15]1)[N:16]([NH:17][C:18](=[O:19])[CH2:20][c:21]1[cH:22][c:23]([O:24][CH3:25])[c:26]([cH:27][c:28]1[Br:29])[C:30](=[O:31])[N:5]1[CH2:4][CH2:3][N:2]([CH3:1])[CH2:7][CH2:6]1)[c:40]1[c:41]([CH3:42])[cH:43][cH:44][cH:45][c:46]1[N:47]1[CH2:48][CH2:49][CH2:50][CH2:51][CH2:52]1,[N:1].O=[C:2]-O-N1-C(=O)-C-C-C-1=O>>[C:2]-[N:1]
Br[CH2:12][C:13]#[CH:14].[CH3:1][S:2][c:3]1[n:4][c:5](=[O:6])[nH:7][cH:8][c:9]1[F:10]>>[CH3:1][S:2][c:3]1[n:4][c:5](=[O:6])[n:7]([CH2:12][C:13]#[CH:14])[cH:8][c:9]1[F:10],[n:1].Br-[C:2]>>[C:2]-[n:1]
CCO[C:6](=[O:7])[CH2:8][c:9]1[o:10][c:11]2[cH:12][cH:13][cH:14][c:15]-2[cH:16][c:17]1-[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.[NH2:1][OH:2]>>[OH:2][NH:1][C:6](=[O:7])[CH2:8][c:9]1[o:10][c:11]-2[cH:12][cH:13][cH:14][c:15]-2[cH:16][c:17]1-[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1,[N:1].C-C-O-[C:2]=O>>[C:2]-[N:1]
[O:1]=[C:2]1[O:3][CH:4]2[CH2:5][CH2:6][CH:7]1[N:8]([S:10](=[O:11])(=[O:12])[c:13]1[cH:14][cH:15][c:16]([O:17][CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[cH:25][cH:26]1)[CH2:9]2.[OH2:27]>>[OH:3][CH:4]1[CH2:5][CH2:6][CH:7]([N:8]([CH2:9]1)[S:10](=[O:11])(=[O:12])[c:13]1[cH:26][cH:25][c:16]([O:17][CH2:18][c:19]2[cH:24][cH:23][cH:22][cH:21][cH:20]2)[cH:15][cH:14]1)[C:2]([OH:27])=[O:1],[O:1].O=[C:2]-[O:3]>>[O:3].[C:2]-[O:1]
O=C1CCC(=O)N1O[C:11](=[O:10])[O:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[OH:1][C:2](=[O:3])[CH:4]1[CH2:5][CH2:6][CH2:7][NH:8][CH2:9]1>>[OH:1][C:2](=[O:3])[CH:4]1[CH2:5][CH2:6][CH2:7][N:8]([CH2:9]1)[C:11](=[O:10])[O:12][CH2:13][c:14]1[cH:19][cH:18][cH:17][cH:16][cH:15]1,[N:1].O-[C:2](=O)-O-N1-C(=O)-C-C-C-1=O>>[C:2]-[N:1]
[F:12][c:13]1[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]1.[O:1]=[C:2]1[O:3][C:4](=[O:5])[c:6]2[cH:7][n:8][n:9][cH:10][c:11]21>>[OH:3][C:4](=[O:5])[c:6]1[cH:7][n:8][n:9][cH:10][c:11]1[C:2](=[O:1])[c:18]1[cH:19][c:13]([F:12])[cH:14][cH:15][c:16]1[F:17],[c:1].O=C-[O:2]-[C:3]=O>>[O:2].[C:3]-[c:1]
